tree,genotype,block,year,coppice_year,coppice_number,height,d20,d50,dbh,cop_id
SLMC-28-2-1,SLMC-28-2,1,2011,0,0,496.824,9.8,8.200000000000001,NA,0
SLMC-28-2-1,SLMC-28-2,1,2012,0,0,830,NA,NA,7.5,0
SLMC-28-2-1,SLMC-28-2,1,2013,0,0,1280,NA,NA,10.6,0
SLMC-28-2-1,SLMC-28-2,1,2014,0,0,NA,NA,NA,12.9,0
SLMC-28-2-1,SLMC-28-2,1,2015,0,0,NA,NA,NA,13.8,0
SLMC-28-2-1,SLMC-28-2,1,2016,0,0,NA,NA,NA,15.5,0
SLMC-28-2-1,SLMC-28-2,1,2018,0,0,NA,NA,NA,16.2,0
SLMC-28-2-1,SLMC-28-2,1,2019,0,0,NA,NA,NA,16.400000000000002,0
BESC-102-2,BESC-102,2,2010,0,0,396.24,NA,NA,NA,0
BESC-102-2,BESC-102,2,2011,0,0,536.448,8.9,8,NA,0
BESC-102-2,BESC-102,2,2012,0,0,690,NA,NA,8.9,0
BESC-102-2,BESC-102,2,2013,0,0,1000,NA,NA,12.4,0
BESC-102-2,BESC-102,2,2014,0,0,NA,NA,NA,14.2,0
BESC-102-2,BESC-102,2,2015,0,0,NA,NA,NA,15.5,0
BESC-102-2,BESC-102,2,2018,0,0,NA,NA,NA,17.8,0
BESC-102-2,BESC-102,2,2019,0,0,NA,NA,NA,18.3,0
BESC-119-2,BESC-119,2,2010,0,0,219.456,NA,NA,NA,0
BESC-119-2,BESC-119,2,2011,0,0,516.0264,8.4,7.4,NA,0
BESC-119-2,BESC-119,2,2012,0,0,830,NA,NA,7.4,0
BESC-119-2,BESC-119,2,2013,0,0,1260,NA,NA,11.1,0
BESC-119-2,BESC-119,2,2014,0,0,NA,NA,NA,12.9,0
BESC-119-2,BESC-119,2,2015,0,0,NA,NA,NA,14.8,0
BESC-119-2,BESC-119,2,2018,0,0,NA,NA,NA,18.2,0
BESC-119-2,BESC-119,2,2019,0,0,NA,NA,NA,19.1,0
BESC-13-2,BESC-13,2,2010,0,0,284.98799999999994,NA,NA,NA,0
BESC-13-2,BESC-13,2,2011,0,0,603.504,9.3,8.4,NA,0
BESC-13-2,BESC-13,2,2012,0,0,860,NA,NA,8.8,0
BESC-13-2,BESC-13,2,2013,0,0,1150,NA,NA,14.8,0
BESC-13-2,BESC-13,2,2014,0,0,NA,NA,NA,15.6,0
BESC-13-2,BESC-13,2,2015,0,0,NA,NA,NA,17.1,0
BESC-13-2,BESC-13,2,2018,0,0,NA,NA,NA,21.700000000000003,0
BESC-13-2,BESC-13,2,2019,0,0,NA,NA,NA,23,0
BESC-131-2,BESC-131,2,2010,0,0,329.184,NA,NA,NA,0
BESC-131-2,BESC-131,2,2011,0,0,573.024,10.1,8.700000000000001,NA,0
BESC-131-2,BESC-131,2,2012,0,0,980,NA,NA,9.5,0
BESC-131-2,BESC-131,2,2013,0,0,1290,NA,NA,13.3,0
BESC-131-2,BESC-131,2,2014,0,0,NA,NA,NA,15.9,0
BESC-131-2,BESC-131,2,2015,0,0,NA,NA,NA,18.3,0
BESC-131-2,BESC-131,2,2018,0,0,NA,NA,NA,22.1,0
BESC-131-2,BESC-131,2,2019,0,0,NA,NA,NA,23.4,0
BESC-133-2,BESC-133,2,2010,0,0,310.89599999999996,NA,NA,NA,0
BESC-133-2,BESC-133,2,2011,0,0,487.68,9.5,7.800000000000001,NA,0
BESC-133-2,BESC-133,2,2012,0,0,740,NA,NA,9.3,0
BESC-133-2,BESC-133,2,2013,0,0,1020,NA,NA,12.7,0
BESC-133-2,BESC-133,2,2014,0,0,NA,NA,NA,15.1,0
BESC-133-2,BESC-133,2,2015,0,0,NA,NA,NA,16,0
BESC-133-2,BESC-133,2,2018,0,0,NA,NA,NA,19.4,0
BESC-133-2,BESC-133,2,2019,0,0,NA,NA,NA,20.3,0
BESC-144-2,BESC-144,2,2010,0,0,358.14000000000004,NA,NA,NA,0
BESC-144-2,BESC-144,2,2011,0,0,676.656,13.3,11.2,NA,0
BESC-144-2,BESC-144,2,2012,0,0,870,NA,NA,12.8,0
BESC-144-2,BESC-144,2,2013,0,0,1380,NA,NA,18.1,0
BESC-144-2,BESC-144,2,2014,0,0,NA,NA,NA,22.5,0
BESC-144-2,BESC-144,2,2015,0,0,NA,NA,NA,24.5,0
BESC-144-2,BESC-144,2,2018,0,0,NA,NA,NA,32.5,0
BESC-144-2,BESC-144,2,2019,0,0,NA,NA,NA,33.7,0
BESC-145-2,BESC-145,2,2010,0,0,399.2879999999999,NA,NA,NA,0
BESC-145-2,BESC-145,2,2011,0,0,594.3599999999999,10.7,10,NA,0
BESC-145-2,BESC-145,2,2012,0,0,890,NA,NA,10.8,0
BESC-145-2,BESC-145,2,2013,0,0,1360,NA,NA,14.9,0
BESC-145-2,BESC-145,2,2014,0,0,NA,NA,NA,17.8,0
BESC-145-2,BESC-145,2,2015,0,0,NA,NA,NA,19.4,0
BESC-145-2,BESC-145,2,2018,0,0,NA,NA,NA,22.700000000000003,0
